handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,retweet_count,favorite_count,cleaned_text,x,y,theme
realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,False,,2016-09-27 13:49:07,,,False,5827,14338,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' ,8.682155,-0.82113457,Endorsement
realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,False,,2016-09-27 13:17:40,,,False,19561,52449,The #1 trend on Twitter right now is #TrumpWon - thank you!,10.924026,-2.0277238,Appreciation
realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,False,,2016-09-27 13:14:55,,,False,9598,29309,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,5.3788896,0.96063113,Endorsement
realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",False,,2016-09-27 12:55:31,,,False,6704,15988,"'How Trump won over a bar full of undecideds and Democrats'
",4.563642,-3.9116967,Endorsement
realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,False,,2016-09-27 12:53:42,,,False,21628,59791,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,6.4717255,-1.353028,Security
HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",False,,2016-09-27 12:32:21,,,False,4120,10456,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon ",6.434208,1.637592,Endorsement
HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,False,,2016-09-27 11:57:38,,,False,6253,17113,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… ,10.936072,-2.0264661,Appreciation
realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,False,,2016-09-27 10:44:58,,,False,4437,16423,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,11.104807,0.1734007,Opposition
realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",False,,2016-09-27 06:32:29,,,False,10829,24078,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… ",11.494191,-0.5755335,Engagement
realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",False,,2016-09-27 05:54:42,,,False,10763,24643,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… ",11.556918,-0.7662876,Engagement
realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",False,,2016-09-27 05:44:02,,,False,16167,34480,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… ",11.531496,-0.5743226,Engagement
realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",False,,2016-09-27 05:36:33,,,False,12479,27258,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA ",8.223095,-1.125288,Endorsement
realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!",False,,2016-09-27 05:18:10,,,False,7709,24434,".@newtgingrich just said ""a historic victory for Trump."" NICE!",6.425606,-1.5268232,Security
HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",True,JoeBiden,2016-09-27 05:16:56,,,False,10733,30012,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight ",10.925804,-2.0154827,Appreciation
realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",False,,2016-09-27 04:34:09,,,False,12739,40321,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",6.359272,-1.6354167,Security
HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,False,,2016-09-27 04:04:38,,,False,6505,21912,43 days left. Let’s go win this thing:  #DebateNight ,11.513598,-0.3457348,Engagement
realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",False,,2016-09-27 04:02:51,,,True,5578,14830,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 ",11.162616,0.20792018,Opposition
realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",False,,2016-09-27 04:01:32,,,True,7350,22113,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… ",11.528393,-0.33719873,Engagement
realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",False,,2016-09-27 03:58:24,,,False,18519,39447,"Thank you Senator @TedCruz!
#Debates2016 #MAGA ",7.917817,1.8249068,Endorsement
HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,True,madeleine,2016-09-27 03:52:39,,,False,3229,10833,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,6.167572,-1.4496443,Security
HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",False,,2016-09-27 03:33:57,,,False,57182,74103,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight ",6.6094966,1.2288742,Endorsement
HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,True,TheAtlantic,2016-09-27 03:18:22,,,False,2277,6913,Hillary Clinton did what she needed to do:  ,6.6852736,-1.6050199,Security
HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",True,ChadHGriffin,2016-09-27 03:14:49,,,False,7576,20896,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",6.3084636,-1.5360471,Security
HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",True,hardball,2016-09-27 03:12:31,,,False,4682,12991,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",3.8968499,-0.5147765,Security
HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,True,ezraklein,2016-09-27 03:03:24,,,False,8546,22141,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,9.01791,1.2300968,Opposition
HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,False,,2016-09-27 02:57:56,,,False,8550,20188,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… ,6.441481,-1.566085,Security
HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,False,,2016-09-27 02:50:50,,,False,3134,12026,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight ,6.332295,-1.1017858,Security
HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,False,,2016-09-27 02:45:44,,,False,80169,80678,RT this if you're proud to be standing with Hillary tonight. #debatenight ,6.85057,-1.6054945,Security
HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,False,,2016-09-27 02:43:15,,,False,5065,16336,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: ,6.417797,-1.3573213,Security
realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",False,,2016-09-27 02:42:49,,,False,8575,19522,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
",6.2055955,-1.4676352,Security
realDonaldTrump,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,False,,2016-09-27 02:40:26,,,False,30921,56562,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,6.837065,3.6536632,Opposition
HillaryClinton,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu",False,,2016-09-27 02:40:04,,,False,26656,48875,"When Donald Trump says he has a ""winning temperament."" #debatenight ",6.190537,-1.3077669,Security
HillaryClinton,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j,False,,2016-09-27 02:38:01,,,False,23394,36574,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight ,7.3608165,-0.9813145,Endorsement
realDonaldTrump,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,False,,2016-09-27 02:36:11,,,False,6680,15499,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight ,3.5890338,-1.8238925,Security
HillaryClinton,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",False,,2016-09-27 02:35:21,,,False,20652,46042,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",3.5675557,-1.8145304,Security
realDonaldTrump,.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… https://t.co/2BovwrJisi,True,TeamTrump,2016-09-27 02:33:59,,,False,6139,13209,.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… ,7.043957,-1.6121713,Endorsement
HillaryClinton,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J",False,,2016-09-27 02:30:00,,,False,5011,13026,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight ",3.5786214,-1.8331562,Security
realDonaldTrump,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",False,,2016-09-27 02:28:26,,,False,11851,26791,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",4.178348,-3.844537,Endorsement
HillaryClinton,.@realDonaldTrump: Barack Obama is your president too. #debatenight,False,,2016-09-27 02:27:23,,,False,17402,38775,.@realDonaldTrump: Barack Obama is your president too. #debatenight,3.7120404,-1.7274392,Security
HillaryClinton,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,False,,2016-09-27 02:26:33,,,False,45008,82338,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,6.429413,-1.3103734,Security
realDonaldTrump,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij",False,,2016-09-27 02:26:13,,,False,21745,40457,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… ",6.895727,-1.5310445,Security
HillaryClinton,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… https://t.co/OXigxJhmqJ,False,,2016-09-27 02:26:01,,,False,5820,13113,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… ,11.414543,-0.5497736,Engagement
HillaryClinton,"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate",True,TheBriefing2016,2016-09-27 02:24:39,,,False,5646,10367,"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate",6.98278,-0.9497191,Security
realDonaldTrump,"100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 
https://t.co/W7L7a9wSCB",True,TeamTrump,2016-09-27 02:22:12,,,False,7419,12728,"100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 
",4.505975,-2.7465837,Endorsement
