handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,retweet_count,favorite_count,cleaned_text,x,y,favorite_count_log,scaled_retweet,theme,text_sentiment,text_sentiment_score
realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",False,,2016-09-27 05:54:42,,,False,10763,24643,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… ",11.556918,-0.7662876,10.112288742134462,22.07891767256472,Engagement,positive,0.6454164385795593
realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",False,,2016-09-27 05:44:02,,,False,16167,34480,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… ",11.531496,-0.5743226,10.448163726677256,25.285787243922037,Engagement,positive,0.9425504803657532
realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",False,,2016-09-27 05:36:33,,,False,12479,27258,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA ",8.223095,-1.125288,10.21313902079189,23.19494043451806,Endorsement,positive,0.9591979384422302
realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!",False,,2016-09-27 05:18:10,,,False,7709,24434,".@newtgingrich just said ""a historic victory for Trump."" NICE!",6.425606,-1.5268232,10.103771809704256,19.75449878822201,Security,positive,0.9691545367240906
HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",True,JoeBiden,2016-09-27 05:16:56,,,False,10733,30012,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight ",10.925804,-2.0154827,10.309385900115851,22.05838486273633,Appreciation,neutral,0.5636139512062073
realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",False,,2016-09-27 04:34:09,,,False,12739,40321,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",6.359272,-1.6354167,10.604652504689657,23.35492332758821,Security,positive,0.9592376351356506
HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,False,,2016-09-27 04:04:38,,,False,6505,21912,43 days left. Let’s go win this thing:  #DebateNight ,11.513598,-0.3457348,9.994835346995403,18.667339828331706,Engagement,positive,0.897814929485321
realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",False,,2016-09-27 04:02:51,,,True,5578,14830,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 ",11.162616,0.20792018,9.604474863741963,17.734794887106748,Opposition,positive,0.9622254967689514
realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",False,,2016-09-27 04:01:32,,,True,7350,22113,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… ",11.528393,-0.33719873,10.003966171102347,19.442962850073847,Engagement,positive,0.9781365990638733
realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",False,,2016-09-27 03:58:24,,,False,18519,39447,"Thank you Senator @TedCruz!
#Debates2016 #MAGA ",7.917817,1.8249068,10.582738627903963,26.45691348874589,Endorsement,positive,0.9764451384544373
HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,True,madeleine,2016-09-27 03:52:39,,,False,3229,10833,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,6.167572,-1.4496443,9.290444616217844,14.78050757459804,Security,neutral,0.48520615696907043
HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",False,,2016-09-27 03:33:57,,,False,57182,74103,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight ",6.6094966,1.2288742,11.213224790933863,38.52592844970113,Endorsement,neutral,0.7217662930488586
HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,True,TheAtlantic,2016-09-27 03:18:22,,,False,2277,6913,Hillary Clinton did what she needed to do:  ,6.6852736,-1.6050199,8.84130362048157,13.155913526261529,Security,neutral,0.5920453667640686
HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",True,ChadHGriffin,2016-09-27 03:14:49,,,False,7576,20896,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",6.3084636,-1.5360471,9.947360886980098,19.640233888175246,Security,neutral,0.7653689980506897
HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",True,hardball,2016-09-27 03:12:31,,,False,4682,12991,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",3.8968499,-0.5147765,9.472089062401459,16.7292756237173,Security,positive,0.813790500164032
HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,True,ezraklein,2016-09-27 03:03:24,,,False,8546,22141,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,9.01791,1.2300968,10.005231536419412,20.445024225663907,Opposition,neutral,0.44487568736076355
HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,False,,2016-09-27 02:57:56,,,False,8550,20188,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… ,6.441481,-1.566085,9.912893180610224,20.44821352830135,Security,neutral,0.6626736521720886
HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,False,,2016-09-27 02:50:50,,,False,3134,12026,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight ,6.332295,-1.1017858,9.394909401310617,14.634110523850907,Security,neutral,0.7480556964874268
HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,False,,2016-09-27 02:45:44,,,False,80169,80678,RT this if you're proud to be standing with Hillary tonight. #debatenight ,6.85057,-1.6054945,11.29823359734582,43.11901408200315,Security,positive,0.6414071321487427
